,0
0,No
1,No
2,No
3,Yes
4,Yes
5,No
6,No
7,Yes
8,No
9,Yes
10,Yes
11,No
12,Yes
13,No
14,No
15,No
16,Yes
17,No
18,No
19,No
20,No
21,No
22,No
23,No
24,No
25,No
26,Yes
27,No
28,No
29,Yes
30,Yes
31,No
32,No
33,Yes
34,No
35,No
36,No
37,No
38,Yes
39,No
40,No
41,No
42,Yes
43,No
44,Yes
45,No
46,No
47,No
48,No
49,No
50,No
51,No
52,Yes
53,Yes
54,No
55,No
56,No
57,No
58,No
59,Yes
60,Yes
61,No
62,No
63,Yes
64,No
65,No
66,Yes
67,No
68,No
69,No
70,Yes
71,No
72,Yes
73,No
74,No
75,Yes
76,Yes
77,No
78,No
79,No
80,No
81,No
82,No
83,No
84,Yes
85,No
86,Yes
87,Yes
88,No
89,No
90,No
91,No
92,No
93,No
94,Yes
95,No
96,No
97,Yes
98,No
99,No
100,No
101,No
102,No
103,No
104,No
105,No
106,No
107,Yes
108,No
109,No
110,Yes
111,No
112,No
113,No
114,No
115,No
116,No
117,Yes
118,No
119,Yes
120,No
121,Yes
122,No
123,No
124,No
125,No
126,Yes
127,No
128,Yes
129,No
130,No
131,No
132,No
133,Yes
134,Yes
135,Yes
136,No
137,No
138,No
139,No
140,No
141,No
142,Yes
143,Yes
144,Yes
145,No
146,No
147,No
148,No
149,No
150,Yes
151,No
152,No
153,No
154,No
155,No
156,Yes
157,No
158,No
159,Yes
160,No
161,Yes
162,No
163,No
164,No
165,No
166,No
167,No
168,No
169,No
170,Yes
171,No
172,No
173,Yes
174,No
175,No
176,No
177,No
178,No
179,No
180,Yes
181,No
182,No
183,Yes
184,No
185,No
186,No
187,Yes
188,Yes
189,No
190,No
191,Yes
192,No
193,No
194,No
195,No
196,No
197,No
198,No
199,No
200,No
201,No
202,No
203,No
204,No
205,No
206,Yes
207,No
208,No
209,No
210,No
211,No
212,Yes
213,No
214,No
215,No
216,No
217,Yes
218,No
219,No
220,No
221,No
222,No
223,Yes
224,No
225,No
226,No
227,Yes
228,No
229,Yes
230,No
231,No
232,No
233,No
234,No
235,No
236,No
237,No
238,No
239,No
240,No
241,Yes
242,No
243,Yes
244,Yes
245,No
246,No
247,No
248,No
249,Yes
250,No
251,No
252,No
253,No
254,No
255,Yes
256,No
257,No
258,No
259,Yes
260,Yes
261,No
262,Yes
263,No
264,Yes
265,No
266,No
267,Yes
268,No
269,No
270,No
271,No
272,No
273,No
274,No
275,No
276,No
277,Yes
278,No
279,No
280,Yes
281,No
282,No
283,No
284,Yes
285,Yes
286,No
287,No
288,No
289,No
290,Yes
291,No
292,No
293,No
294,No
295,Yes
296,Yes
297,Yes
298,No
299,No
300,No
301,No
302,Yes
303,No
304,No
305,No
306,Yes
307,No
308,No
309,No
310,No
311,No
312,Yes
313,No
314,Yes
315,No
316,Yes
317,Yes
318,No
319,No
320,Yes
321,No
322,Yes
323,No
324,No
325,Yes
326,No
327,No
328,No
329,Yes
330,No
331,No
332,No
333,No
334,No
335,No
336,No
337,Yes
338,No
339,No
340,No
341,Yes
342,No
343,Yes
344,Yes
345,No
346,Yes
347,No
348,No
349,No
350,No
351,No
352,No
353,No
354,Yes
355,Yes
356,No
357,No
358,Yes
359,No
360,No
361,No
362,No
363,No
364,Yes
365,No
366,Yes
367,No
368,Yes
369,No
370,Yes
371,No
372,No
373,Yes
374,No
375,No
376,No
377,No
378,No
379,No
380,Yes
381,No
382,No
383,No
384,No
385,No
386,No
387,No
388,No
389,No
390,No
391,No
392,No
393,Yes
394,Yes
395,No
396,No
397,No
398,No
399,Yes
400,No
401,Yes
402,No
403,Yes
404,No
405,No
406,No
407,Yes
408,No
409,No
410,No
411,Yes
412,No
413,No
414,No
415,No
416,No
417,No
418,No
419,Yes
420,No
421,No
422,Yes
423,No
424,No
425,No
426,No
427,No
428,No
429,No
430,No
431,No
432,No
433,No
434,No
435,No
436,No
437,No
438,No
439,Yes
440,No
441,No
442,No
443,No
444,No
445,No
446,No
447,No
448,Yes
449,No
450,No
451,No
452,No
453,No
454,Yes
455,No
456,No
457,Yes
458,No
459,Yes
460,No
461,Yes
462,Yes
463,Yes
464,No
465,No
466,Yes
467,Yes
468,No
469,No
470,Yes
471,No
472,No
473,No
474,No
475,Yes
476,No
477,No
478,No
479,Yes
480,No
481,No
482,No
483,No
484,No
485,No
486,No
487,No
488,Yes
489,No
490,Yes
491,No
492,Yes
493,Yes
494,Yes
495,No
496,Yes
497,No
498,No
499,No
500,No
501,No
502,No
503,No
504,No
505,No
506,No
507,Yes
508,No
509,No
510,Yes
511,No
512,No
513,Yes
514,No
515,No
516,Yes
517,No
518,No
519,No
520,No
521,No
522,No
523,No
524,No
525,No
526,No
527,No
528,No
529,No
530,Yes
531,No
532,No
533,Yes
534,No
535,No
536,No
537,No
538,No
539,No
540,No
541,No
542,No
543,No
544,No
545,No
546,No
547,Yes
548,No
549,No
550,Yes
551,Yes
552,No
553,No
554,Yes
555,Yes
556,No
557,No
558,Yes
559,No
560,Yes
561,No
562,No
563,Yes
564,Yes
565,No
566,No
567,Yes
568,No
569,No
570,No
571,No
572,No
573,Yes
574,Yes
575,No
576,No
577,Yes
578,No
579,No
580,Yes
581,Yes
582,No
583,No
584,Yes
585,No
586,No
587,Yes
588,No
589,No
590,No
591,No
592,No
593,No
594,No
595,No
596,No
597,No
598,Yes
599,No
600,Yes
601,Yes
602,No
603,No
604,No
605,No
606,No
607,No
608,Yes
609,No
610,No
611,No
612,No
613,No
614,Yes
615,No
616,No
617,No
618,Yes
619,Yes
620,No
621,No
622,Yes
623,No
624,No
625,No
626,Yes
627,No
628,No
629,No
630,No
631,No
632,Yes
633,No
634,Yes
635,No
636,No
637,No
638,Yes
639,Yes
640,Yes
641,No
642,No
643,No
644,No
645,No
646,No
647,No
648,No
649,No
650,No
651,No
652,No
653,No
654,No
655,No
656,Yes
657,Yes
658,No
659,No
660,No
661,No
662,No
663,No
664,No
665,No
666,No
667,No
668,No
669,No
670,Yes
671,No
672,No
673,No
674,No
675,No
676,No
677,No
678,No
679,No
680,Yes
681,No
682,No
683,Yes
684,Yes
685,Yes
686,No
687,No
688,No
689,No
690,Yes
691,No
692,No
693,Yes
694,No
695,Yes
696,No
697,No
698,No
699,Yes
700,No
701,No
702,No
703,No
704,No
705,Yes
706,No
707,Yes
708,No
709,No
710,Yes
711,No
712,No
713,No
714,No
715,Yes
716,Yes
717,Yes
718,No
719,No
720,Yes
721,No
722,No
723,No
724,Yes
725,No
726,No
727,Yes
728,Yes
729,No
730,No
731,Yes
732,No
733,Yes
734,Yes
735,No
736,No
737,No
738,No
739,No
740,Yes
741,No
742,Yes
743,No
744,No
745,No
746,No
747,No
748,No
749,No
750,Yes
751,No
752,No
753,Yes
754,Yes
755,No
756,No
757,No
758,No
759,No
760,Yes
761,Yes
762,No
763,No
764,No
765,No
766,No
767,Yes
768,No
769,No
770,No
771,No
772,No
773,No
774,No
775,No
776,No
777,No
778,Yes
779,No
780,No
781,No
782,Yes
783,Yes
784,Yes
785,No
786,No
787,No
788,No
789,No
790,Yes
791,No
792,Yes
793,Yes
794,No
795,No
796,Yes
797,No
798,No
799,No
800,No
801,Yes
802,Yes
803,No
804,No
805,No
806,Yes
807,Yes
808,No
809,No
810,No
811,No
812,No
813,No
814,Yes
815,Yes
816,No
817,No
818,Yes
819,Yes
820,No
821,No
822,No
823,No
824,No
825,No
826,No
827,No
828,No
829,No
830,No
831,No
832,Yes
833,No
834,Yes
835,No
836,Yes
837,No
838,Yes
839,No
840,Yes
841,No
842,No
843,No
844,Yes
845,No
846,No
847,No
848,No
849,No
850,No
851,No
852,No
853,No
854,No
855,No
856,No
857,No
858,Yes
859,Yes
860,No
861,No
862,No
863,Yes
864,Yes
865,No
866,Yes
867,Yes
868,No
869,Yes
870,No
871,No
872,No
873,Yes
874,No
875,Yes
876,No
877,No
878,No
879,Yes
880,No
881,No
882,Yes
883,No
884,Yes
885,No
886,Yes
887,No
888,No
889,Yes
890,No
891,No
892,No
893,No
894,No
895,Yes
896,No
897,No
898,No
899,Yes
900,No
901,No
902,No
903,No
904,Yes
905,No
906,No
907,No
908,No
909,No
910,Yes
911,No
912,Yes
913,No
914,No
915,No
916,Yes
917,No
918,Yes
919,No
920,No
921,Yes
922,Yes
923,No
924,No
925,No
926,Yes
927,No
928,No
929,No
930,No
931,Yes
932,No
933,No
934,No
935,No
936,Yes
937,No
938,Yes
939,No
940,No
941,Yes
942,No
943,Yes
944,No
945,No
946,No
947,No
948,No
949,Yes
950,No
951,No
952,No
953,Yes
954,No
955,Yes
956,No
